agent_id,agent_name,region,specialization,experience_years,success_rate,average_rating,active_clients,languages,contact_number,email
AGT_1000,Brooke Holmes,Minnesota,life,1,0.71,3.97,65,French,334.766.0450x5460,brooke.holmes@insureplus.com
AGT_1001,Deborah Short,Illinois,home,12,0.57,4.03,80,"Mandarin, Spanish, French",(809)979-8193,deborah.short@insureplus.com
AGT_1002,Michael Baker,Minnesota,life,16,0.82,3.56,120,"Mandarin, Spanish",955.551.4588x880,michael.baker@insureplus.com
AGT_1003,Debra Neal MD,Illinois,home,12,0.85,4.44,75,German,+1-525-251-2079x3856,debra.md@insureplus.com
AGT_1004,Carlos Schroeder,Illinois,life,18,0.68,4.13,34,"Spanish, Mandarin",622-500-2380,carlos.schroeder@insureplus.com
AGT_1005,Lisa Miller,Illinois,health,14,0.91,4.57,236,Mandarin,334.699.4886x490,lisa.miller@insureplus.com
AGT_1006,Denise Randolph,Florida,life,13,0.75,4.08,56,Spanish,427-391-8211x5336,denise.randolph@insureplus.com
AGT_1007,Kelli Briggs,Florida,life,4,0.76,3.94,290,German,(314)275-9124x98757,kelli.briggs@insureplus.com
AGT_1008,John Harrington,Minnesota,travel,20,0.54,5.0,33,"German, Spanish",816.405.6789,john.harrington@insureplus.com
AGT_1009,Richard Robinson,New York,auto,14,0.77,4.4,79,"Spanish, Mandarin, English",212-716-0434x4015,richard.robinson@insureplus.com
AGT_1010,Dana Cruz,Washington,auto,9,0.74,3.83,25,German,001-809-823-8041x67967,dana.cruz@insureplus.com
AGT_1011,Matthew Cuevas,California,travel,10,0.73,3.4,281,"English, French",+1-807-591-5148,matthew.cuevas@insureplus.com
AGT_1012,Ashley Moody,Illinois,travel,16,0.95,3.58,119,"English, German",560.753.1067x2747,ashley.moody@insureplus.com
AGT_1013,April Thompson,New York,life,6,0.65,3.98,107,"German, English, Mandarin",001-331-204-8911x564,april.thompson@insureplus.com
AGT_1014,Richard Castillo,Minnesota,health,6,0.88,4.21,212,German,303.937.5937x886,richard.castillo@insureplus.com
AGT_1015,Julie Case,California,auto,10,0.63,4.83,260,"Spanish, German, French",435-621-2111x467,julie.case@insureplus.com
AGT_1016,Dana Hernandez MD,Florida,life,9,0.82,4.47,82,Spanish,8236313050,dana.md@insureplus.com
AGT_1017,Andrew Chambers,Texas,home,16,0.82,5.0,47,"French, German, Spanish",523.928.9983x4160,andrew.chambers@insureplus.com
AGT_1018,Kristy Hahn,Washington,life,15,0.95,3.86,265,"English, French, German",001-606-586-7839x359,kristy.hahn@insureplus.com
AGT_1019,James Lowery,New York,health,10,0.91,4.39,125,"Mandarin, English, Spanish",475-545-3089x9197,james.lowery@insureplus.com
AGT_1020,Daniel Herrera,Washington,home,14,0.8,3.35,139,"Spanish, German, French",236.815.9743,daniel.herrera@insureplus.com
AGT_1021,Joseph Boyer,New York,life,2,0.73,3.79,200,English,832-950-2389x0929,joseph.boyer@insureplus.com
AGT_1022,Denise Williams,New York,travel,14,0.83,4.74,139,"Spanish, English, Mandarin",419.365.8488,denise.williams@insureplus.com
AGT_1023,Joshua Maxwell,Minnesota,health,3,0.54,4.19,213,"French, English, Mandarin",912.290.0148x3729,joshua.maxwell@insureplus.com
AGT_1024,Crystal Duarte,Minnesota,health,19,0.86,4.11,280,"English, German, French",+1-856-776-3758,crystal.duarte@insureplus.com
AGT_1025,Kelly Obrien,Illinois,travel,9,0.82,4.38,291,"English, German",(823)375-3807x094,kelly.obrien@insureplus.com
AGT_1026,Morgan Jensen,California,health,20,0.78,4.06,26,"Mandarin, Spanish, English",(938)361-9300,morgan.jensen@insureplus.com
AGT_1027,Andrew Miller,Florida,life,8,0.63,3.64,45,"German, Spanish, Mandarin",712-369-5192x5643,andrew.miller@insureplus.com
AGT_1028,Lisa Wright,New York,travel,16,0.82,4.21,232,"French, Mandarin, German",001-254-622-0180x0036,lisa.wright@insureplus.com
AGT_1029,Melissa Ortiz,California,auto,14,0.74,3.99,63,"German, Mandarin, French",(774)813-5175x8373,melissa.ortiz@insureplus.com
AGT_1030,Brian Peterson,Illinois,travel,18,0.72,4.72,271,German,001-938-714-1510x47494,brian.peterson@insureplus.com
