customer_id,name,phone,city,state,zipcode,age,gender,marital_status,dependents,education_level,occupation,employment_status,annual_income,credit_score,existing_loans,avg_monthly_expense,vehicle_owner,vehicle_type,budget_per_month,customer_tenure_years,coverage_preferences,risk_tolerance,interest_tags,Segment_ID
CUST_731262,Steven Mejia,871-757-1174,Miami,Florida,33101,21,nonbinary,single,0,high_school,intern,employed,53434,729,multiple,3992.53,True,bike,116,0.8,['life'],High,"['vehicle', 'education']",0
CUST_201414,Michael Cruz,001-875-589-2350,Minneapolis,Minnesota,55419,32,nonbinary,married,3,bachelor,manager,self-employed,68618,691,none,6023.9,False,none,181,7.1,"['auto', 'life']",Low,"['family', 'travel']",2
CUST_183667,Kristin Thomas,001-414-965-5119x251,Chicago,Illinois,60602,58,female,divorced,3,bachelor,manager,self-employed,35164,738,multiple,2755.76,False,none,285,6.0,['health'],High,"['family', 'maternity', 'education']",2
CUST_383060,John Stephenson,001-753-864-2991x22733,Seattle,Washington,98101,75,male,married,2,bachelor,advisor,retired,44260,791,car,3758.38,False,none,136,6.3,['travel'],High,"['family', 'education', 'retirement']",2
CUST_246413,Elizabeth Brown,270-977-5938,Miami,Florida,33130,55,male,divorced,1,bachelor,engineer,self-employed,56290,685,home,4964.41,False,none,390,8.8,"['life', 'home']",Medium,"['family', 'travel']",2
CUST_500156,Cory Moss,+1-222-385-7511,New York,New York,10003,55,nonbinary,married,3,master,manager,self-employed,44373,685,home,2960.84,True,car,124,8.7,['life'],High,"['family', 'maternity', 'vehicle', 'education']",3
CUST_769987,Bradley Poole,(256)264-0295x988,San Jose,California,95110,53,female,widowed,1,bachelor,salesperson,self-employed,80370,794,none,6086.42,True,car,332,0.5,"['travel', 'life']",High,"['family', 'vehicle', 'travel']",1
CUST_897549,Kevin Gentry,001-668-995-3117x56745,San Jose,California,95112,32,male,married,1,bachelor,freelancer,self-employed,62021,746,car,6142.28,False,none,257,2.8,['travel'],Low,"['family', 'travel', 'education']",2
CUST_122056,Mason Cox,922-223-5398,San Jose,California,95101,28,nonbinary,married,3,master,engineer,self-employed,43880,671,home,2996.33,False,none,304,10.0,"['home', 'travel']",Low,"['family', 'maternity', 'education']",2
CUST_858490,Sheri Miller,783.959.8593x43408,San Jose,California,95112,34,nonbinary,single,0,bachelor,teacher,employed,48834,732,car,3361.58,True,car,242,6.9,['travel'],Low,['vehicle'],0
CUST_214576,Sandra Lozano,+1-818-747-3080x716,San Jose,California,95112,50,male,divorced,2,bachelor,engineer,employed,96498,672,personal,8197.6,True,none,127,6.9,['health'],Medium,"['family', 'vehicle']",0
CUST_324130,Michael Mayer,+1-386-431-2906,New York,New York,10001,32,nonbinary,married,2,master,engineer,self-employed,46371,672,none,3226.39,True,none,150,1.0,['health'],Low,"['family', 'vehicle', 'education']",3
CUST_163918,Ms. Hannah Miles,(999)594-6069x7835,Seattle,Washington,98102,23,male,single,0,bachelor,junior developer,employed,99638,714,multiple,8720.1,True,bike,179,2.3,['health'],High,"['vehicle', 'education']",0
CUST_697347,Lisa Ellis,+1-209-248-4691x89179,Miami,Florida,33125,23,male,single,0,high_school,sales trainee,employed,47455,585,none,3205.58,False,none,135,6.2,['home'],Low,['education'],2
CUST_690341,Andrew Willis,001-794-882-5143x0289,New York,New York,10003,58,male,divorced,2,master,salesperson,self-employed,43386,596,car,3250.22,True,bike,167,6.9,"['home', 'auto']",Low,"['family', 'vehicle', 'education']",3
CUST_377312,Christie Johnson,(946)219-1093x60011,Minneapolis,Minnesota,55414,54,male,married,1,bachelor,doctor,employed,88434,666,personal,7740.44,False,none,254,6.3,['travel'],Medium,"['family', 'maternity']",2
CUST_374680,John Wright MD,+1-618-672-6448x9938,Minneapolis,Minnesota,55414,67,nonbinary,married,2,phd,consultant,retired,42471,639,car,3854.7,True,bike,126,1.4,"['auto', 'health']",Low,"['maternity', 'retirement', 'education', 'family', 'vehicle']",3
CUST_918011,William Brown,(353)266-3174x4022,New York,New York,10003,48,nonbinary,divorced,3,bachelor,teacher,employed,59536,718,car,4677.58,True,car,320,1.7,"['auto', 'health']",Medium,"['maternity', 'education', 'family', 'vehicle', 'travel']",0
CUST_593554,Linda Thompson,001-344-398-2448x82151,San Jose,California,95110,59,nonbinary,married,1,bachelor,technician,employed,94040,645,car,9288.88,False,none,310,8.1,['auto'],Low,"['family', 'maternity']",2
CUST_287241,Julia Ramsey,3887166384,New York,New York,10001,72,female,married,1,bachelor,consultant,retired,32656,615,car,2723.07,False,none,242,3.8,"['travel', 'auto']",Low,"['family', 'education', 'retirement']",2
CUST_796503,Crystal Collins,001-281-876-4948x68407,San Jose,California,95110,22,male,single,0,bachelor,assistant,employed,97199,787,multiple,7459.03,True,none,197,2.9,"['health', 'life']",Medium,"['vehicle', 'travel', 'education']",0
CUST_550770,Stephanie Smith,(730)879-4033x569,Chicago,Illinois,60603,40,nonbinary,divorced,3,master,doctor,self-employed,51376,686,car,4277.06,True,car,315,6.8,"['life', 'auto']",Medium,"['family', 'vehicle', 'travel', 'maternity']",3
CUST_148458,Keith Dean,235.947.1226,Seattle,Washington,98103,58,nonbinary,married,2,bachelor,manager,self-employed,82018,704,home,5654.11,True,bike,363,6.8,"['health', 'life']",High,"['family', 'vehicle', 'travel', 'education']",3
CUST_989545,Eric Murphy,(851)844-1073x08869,New York,New York,10002,59,male,married,3,bachelor,freelancer,self-employed,62399,614,home,5200.67,True,car,154,7.9,['life'],High,"['family', 'vehicle', 'travel', 'maternity']",3
CUST_608136,Jeffrey Harris,+1-675-629-6207,Minneapolis,Minnesota,55401,28,female,married,3,master,freelancer,self-employed,70150,667,multiple,4984.0,True,none,328,9.0,"['home', 'auto']",Low,"['family', 'vehicle', 'maternity']",3
CUST_446954,Kevin Mcknight,829-646-9254x99244,Miami,Florida,33101,37,female,single,0,bachelor,doctor,self-employed,52010,706,multiple,4484.18,True,car,218,4.1,['life'],Low,"['vehicle', 'travel']",3
CUST_801364,Brandon Smith,+1-733-879-9776x9820,San Jose,California,95110,46,male,married,2,bachelor,manager,self-employed,61259,630,car,6107.89,True,bike,314,5.6,['home'],Low,"['family', 'vehicle', 'travel', 'education']",3
CUST_898207,Dawn King,(417)714-2967x18348,Miami,Florida,33125,66,male,widowed,1,master,retired,retired,58790,722,none,4585.1,True,bike,169,8.7,['health'],Medium,"['maternity', 'retirement', 'education', 'family', 'vehicle', 'travel']",1
CUST_596564,Devin Mahoney,+1-982-490-5915,Dallas,Texas,75202,68,female,married,1,bachelor,shop owner,retired,55351,663,car,5394.61,True,car,120,7.7,['life'],Low,"['family', 'vehicle', 'maternity', 'retirement']",3
CUST_493537,Travis Becker,841-849-9511,Miami,Florida,33101,56,male,married,2,master,technician,employed,119415,682,none,9160.24,False,none,183,9.7,['travel'],Low,['family'],2
CUST_990844,Christopher Robinson,799.284.7298,Dallas,Texas,75203,32,male,married,3,bachelor,engineer,self-employed,85724,663,none,6387.16,False,none,389,7.9,"['travel', 'home']",High,"['family', 'travel', 'education']",2
CUST_190872,Katherine Padilla,466-289-0218x15513,Dallas,Texas,75202,26,female,divorced,3,master,technician,employed,97080,811,multiple,8922.23,False,none,238,6.4,"['home', 'travel']",High,"['family', 'travel']",2
CUST_612311,Elizabeth Wyatt,+1-216-774-2098x34069,Chicago,Illinois,60602,35,female,married,3,master,manager,employed,104789,699,home,7351.16,True,bike,232,3.7,"['travel', 'health']",High,"['family', 'vehicle', 'maternity']",0
CUST_363615,Jessica Faulkner,(873)213-5373x264,San Jose,California,95101,64,female,divorced,2,bachelor,shop owner,retired,26098,636,personal,2275.09,True,bike,397,4.0,"['home', 'auto']",Medium,"['family', 'vehicle', 'maternity', 'retirement']",3
CUST_114835,Jerry Erickson,(707)684-6490,New York,New York,10001,66,male,married,3,bachelor,consultant,retired,34180,749,car,2496.16,False,none,368,6.2,['life'],Medium,"['family', 'maternity', 'education', 'retirement']",2
CUST_600935,Ashley Holland,+1-346-886-9940,Miami,Florida,33130,28,female,single,0,master,teacher,employed,104340,626,none,9924.91,True,bike,345,4.7,['health'],Medium,['vehicle'],0
CUST_717113,Jordan Gilbert,959-916-0074x87146,Minneapolis,Minnesota,55414,45,female,married,3,bachelor,salesperson,employed,59555,712,car,4237.07,True,car,160,5.8,"['travel', 'life']",High,"['family', 'vehicle', 'travel', 'education']",0
CUST_396451,Tommy Williams,001-607-724-5156x8764,Dallas,Texas,75202,56,nonbinary,married,3,bachelor,teacher,employed,74687,582,home,5614.66,True,none,138,2.0,"['home', 'travel']",Medium,"['family', 'maternity', 'vehicle', 'education']",0
CUST_696856,Joseph Case,9046680461,Miami,Florida,33125,24,nonbinary,single,0,high_school,assistant,employed,95723,620,home,9052.78,True,bike,172,1.2,['auto'],High,"['vehicle', 'education']",0
CUST_121753,Samantha Arias,+1-935-667-5669x037,Chicago,Illinois,60602,27,female,married,3,master,manager,self-employed,58688,711,none,5641.88,False,none,265,6.2,['health'],Low,['family'],2
CUST_209680,Dennis Carter,7549842989,Seattle,Washington,98103,72,female,divorced,1,phd,shop owner,retired,48981,744,home,3359.38,False,none,323,6.5,"['health', 'home']",Medium,"['family', 'education', 'retirement']",2
CUST_893188,Angela Martinez,8486020011,Seattle,Washington,98101,41,female,divorced,2,master,salesperson,employed,99614,710,car,9541.3,True,bike,363,8.3,['travel'],Medium,"['maternity', 'education', 'family', 'vehicle', 'travel']",0
CUST_218972,Kimberly Woods,626-383-9526,Dallas,Texas,75203,48,male,married,3,master,engineer,self-employed,87727,693,none,6502.51,True,none,222,7.2,"['travel', 'health']",High,"['family', 'maternity', 'vehicle', 'education']",3
CUST_243139,Brandon Daugherty,(639)345-5234,Dallas,Texas,75201,61,male,married,3,phd,advisor,retired,37919,681,personal,3139.65,False,none,224,4.8,['home'],Low,"['family', 'retirement']",2
CUST_437408,Emily Schmidt,(742)587-9058x5941,Seattle,Washington,98101,37,female,married,3,bachelor,doctor,self-employed,77582,611,multiple,6750.5,True,none,350,8.7,"['travel', 'home']",Medium,"['family', 'vehicle', 'travel', 'education']",3
CUST_205239,Heather Valentine,+1-321-294-7746x10137,Seattle,Washington,98101,64,male,divorced,1,bachelor,shop owner,retired,40852,656,personal,2976.79,True,none,177,5.2,['life'],High,"['family', 'vehicle', 'retirement']",3
CUST_853629,Heidi Norman,752-364-0186x272,Seattle,Washington,98102,26,nonbinary,divorced,1,bachelor,salesperson,self-employed,87077,672,home,6560.01,True,bike,273,6.4,"['health', 'auto']",High,"['family', 'vehicle', 'travel']",3
CUST_493049,Joseph Schultz,001-680-630-2671x112,Seattle,Washington,98102,75,nonbinary,married,1,phd,consultant,retired,38833,763,none,2591.09,True,car,151,4.7,"['health', 'travel']",Medium,"['family', 'vehicle', 'maternity', 'retirement']",3
CUST_943718,Sharon Humphrey,236.277.0843,Dallas,Texas,75201,35,nonbinary,married,3,bachelor,technician,employed,62946,720,personal,6055.5,True,car,354,9.2,['life'],Medium,"['family', 'vehicle']",0
CUST_410244,Andre Roberson,001-400-296-3334x227,Dallas,Texas,75202,63,nonbinary,married,2,phd,advisor,retired,39605,594,personal,3001.59,True,bike,254,2.4,"['home', 'health']",Low,"['family', 'vehicle', 'education', 'retirement']",3
CUST_362801,Fernando Hancock,001-847-614-6120x56698,Miami,Florida,33125,21,nonbinary,single,0,high_school,student,student,34870,719,car,2540.46,False,none,217,6.3,"['life', 'travel']",High,['education'],2
